Keyword	Description	Articles
meghan,markle	<div class="mb-2">Meghan, Duchess of Sussex (/ˈmɛɡən/; born Rachel Meghan Markle, August 4, 1981) is an American member of the British royal family and a former actress.</div>	12
piers	<div class="mb-2">Piers Stefan Pughe-Morgan (/pɪərs/; né O'Meara; 30 March 1965) is an English broadcaster, journalist, writer, and television personality.</div>	12
kardashian	<div class="mb-2">The Kardashian family, also referred to as the Kardashian–Jenner family,[1] is an American family that is prominent in the fields of entertainment, fashion design, and business. Founded by Robert Kardashian and Kris Jenner, the family consists of their children Kourtney, Kim, Khloé, and Rob Kardashian, as well their grandchildren. </div>	11
flaunt	<i>transitive verb</i> <ol> <li class="defn-text"> to display ostentatiously or impudently : PARADE </li> <li class="defn-text"> to treat contemptuously </li> </ol> <i>intransitive verb</i> <ol> <li class="defn-text">to wave or flutter showily</li> <li class="defn-text">to display or obtrude oneself to public notice</li> </ol>	6
sizzle,sizzling	<i>transitive verb</i> <br /> to burn up or sear with or as if with a hissing sound <br /><br /> <i>intransitive verb</i> <ol> <li class="defn-text">to make a hissing sound in or as if in burning or frying</li> <li class="defn-text">to seethe with deep anger or resentment</li> </ol>	5
pert	<ol> <li class="defn-text">saucily free and forward : flippantly cocky and assured</li> <li class="defn-text">piquantly stimulating</li> <li class="defn-text">being trim and chic</li> <li class="defn-text">Lively, Vivacious</li> </ol>	3
curves	<i>noun</i> <ol> <li class="defn-text">a line especially when curved</li> <li class="defn-text">something curved such as a curving line of the human body</li> <li class="defn-text">a distribution indicating the relative performance of individuals measured against each other that is used especially in assigning good, medium, or poor grades to usually predetermined proportions of students rather than in assigning grades based on predetermined standards of achievement</li> </ol>	2
racism	<ol> <li class="defn-text">a belief that race is a fundamental determinant of human traits and capacities and that racial differences produce an inherent superiority of a particular race</li> <li class="defn-text">the systemic oppression of a racial group to the social, economic, and political advantage of another</li> </ol>	2
cleavage	<ol> <li class="defn-text">the quality of a crystallized substance or rock of splitting along definite planes also : the occurrence of such splitting</li> <li class="defn-text">a fragment (as of a diamond) obtained by splitting</li> <li class="defn-text">the action of cleaving or splitting : the state of being cleft</li> <li class="defn-text">the series of synchronized mitotic cell divisions of a fertilized egg that results in the formation of the blastomeres and changes the single-celled zygote into a multicellular embryo</li> <li class="defn-text">the splitting of a molecule into simpler molecules</li> <li class="defn-text">the depression between a woman's breasts especially when made visible by a low-cut neckline</li> </ol>	2
ample	<ol> <li class="defn-text">generous or more than adequate in size, scope, or capacity</li> <li class="defn-text">generously sufficient to satisfy a requirement or need</li> <li class="defn-text">BUXOM, PORTLY</li> </ol>	1
assets	<ol> <li class="defn-text">an item of value owned</li> <li class="defn-text">something useful in an effort to foil or defeat an enemy</li> <li class="defn-text">sometimes used euphemistically or humorously in the plural to refer to parts of a person's body (such as the breasts or buttocks) that are considered attractive</li> </ol>	1
sultry	<ol> <li class="defn-text">very hot and humid</li> <li class="defn-text">hot with passion or anger</li> <li class="defn-text">exciting or capable of exciting strong sexual desire</li> </ol>	1
woke	aware of and actively attentive to important facts and issues (especially issues of racial and social justice)	1
posh	<ol> <li class="defn-text">British : typical of or intended for the upper classes</li> <li class="defn-text">Elegant, fashionable</li> </ol>	0
